	bin_name	genome_name	gene_callers_id	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	COG20_FUNCTION_ACC	COG20_FUNCTION	Pfam_ACC	Pfam	KEGG_Module_ACC	KEGG_Module	KEGG_BRITE_ACC	KEGG_BRITE	COG20_PATHWAY_ACC	COG20_PATHWAY	COG20_CATEGORY_ACC	COG20_CAT_ACC	COG20_CATEGORY	KOfam_ACC	KOfam	KEGG_Class_ACC	KEGG_Class
GC_00000025	EVERYTHING	ASM1913465v1	936	82	482	10	0	0.935972882	0.735993045	0.824023409	ND	ND	PF05632.16	Borrelia burgdorferi protein of unknown function (DUF792)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000026	EVERYTHING	ASM1913465v1	841	82	475	10	0	0.972814595	0.949640708	0.961087979	ND	ND	PF07405.16	Protein of unknown function (DUF1506)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000027	EVERYTHING	ASM1913465v1	1137	82	474	10	0	0.959896527	0.836449048	0.893931042	ND	ND	PF05561.16	Borrelia burgdorferi protein of unknown function (DUF764)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000028	EVERYTHING	ASM1913465v1	932	82	470	11	0	0.986524921	0.911227008	0.947382151	ND	ND	PF07316.16	Protein of unknown function (DUF1463)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000029	EVERYTHING	ASM1913465v1	1142	82	464	10	0	0.956798623	0.873539031	0.913275144	ND	ND	PF07032.16	Protein of unknown function (DUF1322)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000030	EVERYTHING	ASM1913465v1	964	81	401	12	0	0.918229338	0.613098519	0.735263901	COG0675	Transposase (InsQ)	PF01385.24	Probable transposase	ND	ND	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99976 Replication and repair	ND	ND	X	X	"Mobilome: prophages, transposons"	K07496	putative transposase	ND	ND
GC_00000031	EVERYTHING	ASM1913465v1	836	79	365	20	0	0.919757905	0.871272486	0.894858915	ND	ND	PF02989.19	Lyme disease proteins of unknown function	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000032	EVERYTHING	ASM1913465v1	1145	80	331	10	0	0.905744196	0.846046542	0.874878178	ND	ND	PF05113.18	Protein of unknown function (DUF693)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000033	EVERYTHING	ASM1913465v1	1120	82	327	7	0	0.920952455	0.833407234	0.874995524	ND	ND	PF00589.27	Phage integrase family	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000034	EVERYTHING	ASM1913465v1	972	82	321	17	0	0.91550862	0.700218296	0.793520092	COG1002	"Type II restriction/modification system, endonuclease and methylase domains (YeeA) (PDB:5HR4)"	ND	ND	ND	ND	ND	ND	ND	ND	V	V	Defense mechanisms	ND	ND	ND	ND
GC_00000035	EVERYTHING	ASM1913465v1	1150	66	303	12	0	0.849852607	0.811642216	0.830308038	ND	ND	PF05085.17	Protein of unknown function (DUF685)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000036	EVERYTHING	ASM1913465v1	992	82	275	8	0	0.767394159	0.917183397	0.8356293	COG1192	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ (ParA) (PDB:6NOO)	PF13614.11	AAA domain	ND	ND	ko03036|ko04812	Chromosome and associated proteins>>>Prokaryotic type>>>Chromosome partitioning proteins>>>Other chromosome partitioning proteins|Cytoskeleton proteins>>>Prokaryotic cytoskeleton proteins>>>MinD / ParA class of bacterial cytoskeletal proteins	ND	ND	D|N	D	"Cell cycle control, cell division, chromosome partitioning|Cell motility"	K03496	chromosome partitioning protein	ND	ND
GC_00000037	EVERYTHING	ASM1913465v1	979	82	273	6	0	0.935030595	0.663651896	0.776307779	COG1001	Adenine deaminase (AdeC) (PDB:3NQB)	PF13382.11	Adenine deaminase C-terminal domain	ND	ND	ko00001|ko01000	"KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00230 Purine metabolism [PATH:ko00230]|Enzymes>>>3. Hydrolases>>>3.5  Acting on carbon-nitrogen bonds, other than peptide bonds>>>3.5.4  In cyclic amidines>>>3.5.4.2  adenine deaminase"	ND	ND	F	F	Nucleotide transport and metabolism	K01486	adenine deaminase [EC:3.5.4.2]	ND	ND
GC_00000038	EVERYTHING	ASM1913465v1	917	82	271	6	0	0.920550351	0.905589367	0.913008573	ND	ND	PF00589.27	Phage integrase family	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000039	EVERYTHING	ASM1913465v1	994	82	240	6	0	0.839366229	0.712582851	0.770795883	ND	ND	PF02524.19	KID repeat	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000040	EVERYTHING	ASM1913465v1	860	80	237	5	0	0.935886047	0.870930038	0.902240441	ND	ND	PF04404.17	ERF superfamily	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000041	EVERYTHING	ASM1913465v1	1164	79	232	5	0	0.881176173	0.945356146	0.912138594	ND	ND	PF05714.16	Borrelia Bbcrasp-1 domain containing protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000042	EVERYTHING	ASM1913465v1	1181	77	229	6	0	0.729799033	0.675978406	0.70185845	ND	ND	PF02414.20	Borrelia ORF-A	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000043	EVERYTHING	ASM2466215v1	1173	36	223	26	0	0.951074251	0.795932485	0.866614738	ND	ND	PF05085.17	Protein of unknown function (DUF685)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000044	EVERYTHING	ASM215146v1	1225	73	218	7	0	0.855905092	0.697561687	0.768663493	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000045	EVERYTHING	ASM1913465v1	865	82	208	7	0	0.913279227	0.664448421	0.769241689	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000046	EVERYTHING	ASM1913465v1	1143	53	208	9	0	0.927292494	0.887682792	0.907055425	ND	ND	PF05537.16	Borrelia burgdorferi protein of unknown function (DUF759)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000047	EVERYTHING	ASM1913465v1	823	81	198	5	0	0.881993505	0.734953778	0.801787993	ND	ND	PF02524.19	KID repeat	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000048	EVERYTHING	ASM1913465v1	975	82	196	4	0	0.890969514	0.845754648	0.867773507	ND	ND	PF02414.20	Borrelia ORF-A	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000049	EVERYTHING	ASM1913465v1	913	79	183	4	0	0.807369721	0.940455171	0.868845653	ND	ND	PF01672.21	Putative plasmid partition protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000050	EVERYTHING	ASM1913465v1	850	69	182	7	0	0.973639538	0.851290034	0.908363422	ND	ND	PF05113.18	Protein of unknown function (DUF693)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000051	EVERYTHING	ASM215146v1	1063	75	180	5	0	0.869120007	0.776395978	0.820145515	ND	ND	PF02471.22	Borrelia outer surface protein E	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000052	EVERYTHING	ASM1913465v1	1001	81	177	6	0	0.939747614	0.792277028	0.859734243	ND	ND	PF04867.17	Protein of unknown function (DUF643)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000053	EVERYTHING	ASM1913465v1	988	81	175	4	0	0.862373544	0.777865371	0.817942448	ND	ND	PF02414.20	Borrelia ORF-A	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000054	EVERYTHING	ASM215146v1	1230	77	173	4	0	0.83484096	0.989616626	0.905663689	COG1192	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ (ParA) (PDB:6NOO)	PF13614.11	AAA domain	ND	ND	ko03036|ko04812	Chromosome and associated proteins>>>Prokaryotic type>>>Chromosome partitioning proteins>>>Other chromosome partitioning proteins|Cytoskeleton proteins>>>Prokaryotic cytoskeleton proteins>>>MinD / ParA class of bacterial cytoskeletal proteins	ND	ND	D|N	D	"Cell cycle control, cell division, chromosome partitioning|Cell motility"	K03496	chromosome partitioning protein	ND	ND
GC_00000055	EVERYTHING	ASM2466215v1	1325	77	172	4	0	0.775633202	0.813256587	0.793999452	ND	ND	PF01672.21	Putative plasmid partition protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000056	EVERYTHING	ASM1913465v1	903	82	171	4	0	0.912524608	0.943680286	0.927840979	COG2252	"Xanthine/guanine/uracil/vitamin C permease GhxP/GhxQ, nucleobase:cation symporter 2 ( NCS2) family (NCS2) (PUBMED:24169576;24214977)"	PF00860.25	Permease family	ND	ND	ko02000	Transporters>>>Other transporters>>>Electrochemical potential-driven transporters [TC:2]	ND	ND	F	F	Nucleotide transport and metabolism	K06901	adenine/guanine/hypoxanthine permease	ND	ND
GC_00000057	EVERYTHING	ASM1913465v1	980	78	164	3	0	0.811184256	0.637553797	0.713964269	ND	ND	PF05714.16	Borrelia Bbcrasp-1 domain containing protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000058	EVERYTHING	ASM1913465v1	1179	80	164	4	0	0.804140591	0.682344211	0.738252656	ND	ND	PF02414.20	Borrelia ORF-A	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000059	EVERYTHING	ASM1913465v1	1110	82	157	4	0	0.95335894	0.721020281	0.82106983	ND	ND	PF03532.18	OMS28 porin	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000060	EVERYTHING	ASM1913465v1	935	60	156	7	0	0.837945378	0.649014575	0.73147735	ND	ND	PF05537.16	Borrelia burgdorferi protein of unknown function (DUF759)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000061	EVERYTHING	ASM1913465v1	1160	80	153	3	0	0.95047153	0.932247857	0.941271496	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000062	EVERYTHING	ASM215146v1	1066	72	151	5	0	0.965705559	0.895620545	0.929343587	ND	ND	PF04867.17	Protein of unknown function (DUF643)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000063	EVERYTHING	ASM1913465v1	1169	79	150	3	0	0.966613271	0.658895674	0.783628173	COG2814	"Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)"	PF07690.21	Major Facilitator Superfamily	ND	ND	ND	ND	ND	ND	G	G	Carbohydrate transport and metabolism	ND	ND	ND	ND
GC_00000064	EVERYTHING	ASM1913465v1	858	78	148	4	0	0.833601887	0.955762518	0.890512224	ND	ND	PF03978.18	Borrelia burgdorferi REV protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000065	EVERYTHING	ASM1913465v1	982	82	147	3	0	0.940050658	0.719002485	0.814800613	COG2859	"Outer membrane channel-forming protein BP26/OMP28, SIMPL family (SIMPL) (PDB:4HVZ) (PUBMED:23353825;32703422)"	PF04402.19	Protein of unknown function (DUF541)	ND	ND	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99997 Function unknown	ND	ND	M	M	Cell wall/membrane/envelope biogenesis	K09797	uncharacterized protein	ND	ND
GC_00000066	EVERYTHING	ASM1913465v1	1180	76	139	3	0	0.898804525	0.743159849	0.813605271	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000067	EVERYTHING	ASM215146v1	961	74	138	5	0	0.902226448	0.684501951	0.778426559	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000068	EVERYTHING	ASM2466217v1	816	57	134	8	0	0.841773252	0.645796356	0.730875511	ND	ND	PF02414.20	Borrelia ORF-A	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000069	EVERYTHING	ASM4079079v1	880	30	131	16	0	0.7597205	0.934639436	0.838151003	ND	ND	PF00921.22	Borrelia lipoprotein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000070	EVERYTHING	ASM1913465v1	21	82	127	2	0	0.947864254	0.57181787	0.713314594	COG0809	S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase) (QueA) (PDB:1VKY)	PF02547.20	Queuosine biosynthesis protein	ND	ND	ND	ND	COG0809	tRNA modification	J	J	"Translation, ribosomal structure and biogenesis"	ND	ND	ND	ND
GC_00000071	EVERYTHING	ASM1913465v1	848	60	124	6	0	0.92074186	0.85815581	0.888347868	ND	ND	PF05537.16	Borrelia burgdorferi protein of unknown function (DUF759)	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000072	EVERYTHING	ASM2466215v1	1287	70	123	3	0	0.754510686	0.706202326	0.729557684	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000073	EVERYTHING	ASM1913465v1	977	82	120	3	0	0.887247108	0.951425542	0.918216259	COG1192	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ (ParA) (PDB:6NOO)	PF13614.11	AAA domain	ND	ND	ko03036|ko04812	Chromosome and associated proteins>>>Prokaryotic type>>>Chromosome partitioning proteins>>>Other chromosome partitioning proteins|Cytoskeleton proteins>>>Prokaryotic cytoskeleton proteins>>>MinD / ParA class of bacterial cytoskeletal proteins	ND	ND	D|N	D	"Cell cycle control, cell division, chromosome partitioning|Cell motility"	K03496	chromosome partitioning protein	ND	ND
GC_00000074	EVERYTHING	ASM215146v1	1282	74	117	6	0	0.988332574	0.764543009	0.862152188	COG3567	"Uncharacterized conserved protein, DUF1073 domain"	ND	ND	ND	ND	ND	ND	ND	ND	S	S	Function unknown	ND	ND	ND	ND
GC_00000075	EVERYTHING	ASM1913465v1	822	77	115	5	0	0.853750022	0.956767135	0.902327779	ND	ND	PF01672.21	Putative plasmid partition protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000076	EVERYTHING	ASM1913465v1	914	74	114	4	0	0.970442227	0.753810256	0.848517616	ND	ND	PF02524.19	KID repeat	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000077	EVERYTHING	ASM1913465v1	986	72	113	4	0	0.993664418	0.735840644	0.845535155	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000078	EVERYTHING	ASM215146v1	1281	74	113	3	0	0.958131821	0.750152814	0.841481878	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000079	EVERYTHING	ASM2466215v1	1002	74	112	2	0	0.913518784	0.990521622	0.950463136	COG1192	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ (ParA) (PDB:6NOO)	PF02890.19	Borrelia family of unknown function DUF226	ND	ND	ND	ND	ND	ND	D|N	D	"Cell cycle control, cell division, chromosome partitioning|Cell motility"	ND	ND	ND	ND
GC_00000080	EVERYTHING	ASM1913465v1	1048	82	111	2	0	0.999809122	1	0.999904552	COG1192	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ (ParA) (PDB:6NOO)	PF13614.11	AAA domain	ND	ND	ko03036|ko03029	Chromosome and associated proteins>>>Prokaryotic type>>>Chromosome partitioning proteins>>>Other chromosome partitioning proteins|Mitochondrial biogenesis>>>Mitochondrial quality control factors>>>Mitochondrial respiratory chain complex assembly factors>>>Complex-I assembly factors	ND	ND	D|N	D	"Cell cycle control, cell division, chromosome partitioning|Cell motility"	K03496	chromosome partitioning protein	ND	ND
GC_00000081	EVERYTHING	ASM1913465v1	1049	82	111	2	0	0.994360868	0.988890709	0.991618244	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000082	EVERYTHING	ASM1913465v1	973	82	110	2	0	0.926605505	1	0.961904762	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000083	EVERYTHING	ASM1913465v1	1168	76	106	2	0	0.975291604	0.663902659	0.790020687	ND	ND	PF05714.16	Borrelia Bbcrasp-1 domain containing protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000084	EVERYTHING	ASM215148v1	1211	57	106	2	0	0.692952853	0.709109186	0.700937932	COG1192	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ (ParA) (PDB:6NOO)	PF13614.11	AAA domain	ND	ND	ko03036|ko04812	Chromosome and associated proteins>>>Prokaryotic type>>>Chromosome partitioning proteins>>>Other chromosome partitioning proteins|Cytoskeleton proteins>>>Prokaryotic cytoskeleton proteins>>>MinD / ParA class of bacterial cytoskeletal proteins	ND	ND	D|N	D	"Cell cycle control, cell division, chromosome partitioning|Cell motility"	K03496	chromosome partitioning protein	ND	ND
GC_00000085	EVERYTHING	ASM1913465v1	962	62	105	3	0	0.878362095	0.797857346	0.836176496	COG0675	Transposase (InsQ)	PF12323.13	Helix-turn-helix domain	ND	ND	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99976 Replication and repair	ND	ND	X	X	"Mobilome: prophages, transposons"	K07496	putative transposase	ND	ND
GC_00000086	EVERYTHING	ASM215148v1	1203	24	104	8	0	0.883380205	0.770267705	0.822955406	ND	ND	PF00921.22	Borrelia lipoprotein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000087	EVERYTHING	ASM215146v1	1224	51	101	4	0	0.941621763	0.707824084	0.808153312	COG2314	"Uncharacterized membrane protein YozV, TM2 domain, contains pTyr (TM2) (PUBMED:27148221)"	PF05154.21	TM2 domain	ND	ND	ND	ND	ND	ND	R	R	General function prediction only	ND	ND	ND	ND
GC_00000088	EVERYTHING	ASM1913465v1	873	65	100	2	0	0.955433657	0.925013197	0.939977367	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000089	EVERYTHING	ASM1913465v1	1167	79	99	2	0	0.975515383	0.808206046	0.884014082	ND	ND	PF05714.16	Borrelia Bbcrasp-1 domain containing protein	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000090	EVERYTHING	ASM215146v1	1161	54	99	4	0	0.983075646	0.935556905	0.958727828	ND	ND	PF04404.17	ERF superfamily	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000091	EVERYTHING	ASM1913465v1	1159	64	98	4	0	0.92276645	0.952961225	0.937620805	ND	ND	PF04404.17	ERF superfamily	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000092	EVERYTHING	ASM2466215v1	1117	71	97	6	0	0.974244387	0.838928069	0.901536928	ND	ND	PF13229.11	Right handed beta helix region	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000093	EVERYTHING	ASM215146v1	917	66	96	3	0	0.956422097	0.740109376	0.834475484	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
GC_00000094	EVERYTHING	ASM1913465v1	894	82	89	2	0	0.990881134	0.889227671	0.93730631	COG1192	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ (ParA) (PDB:6NOO)	PF02890.19	Borrelia family of unknown function DUF226	ND	ND	ND	ND	ND	ND	D|N	D	"Cell cycle control, cell division, chromosome partitioning|Cell motility"	ND	ND	ND	ND
GC_00000095	EVERYTHING	ASM1913465v1	203	82	89	4	0	0.991800953	0.767346656	0.865254445	COG0457|COG4783	"Tetratricopeptide (TPR) repeat (TPR) (PDB:3AS4)|Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains (BepA) (PDB:6AIT) (PUBMED:24003122)"	PF07719.22	Tetratricopeptide repeat	ND	ND	ND	ND	ND	ND	R|M|O	R	"General function prediction only|Cell wall/membrane/envelope biogenesis|Posttranslational modification, protein turnover, chaperones"	ND	ND	ND	ND
